SubAddr,Territory,X,Subregion,Xmin,COUNTYNS,TARGET_FID,LongLabel,StName,ARC_Addr_2,COUNTYFP,UnitName,Sector,Addr_type,ARC_Addr_1,LevelName,PART_PERC,Zone,FIPS,Ciy,LevelType,Country,Ymax,BldgName,NAME,ARC_Neighb,the_geom,ALAND,Rank,Address,Y,URL,ARC_Region,TOTAL_PERS,Xmax,ARC_Countr,Side,Region,Mailing_Ad,PART_YES,AWATER,RegionAbbr,Pantry_Typ,ARC_Postal,Nbrhd,AddNum,StDir,DisplayX,Food_Bank,Ymin,ARC_Post_1,UnitType,County,PlaceName,Phone,Pantry_Nam,OBJECTID,Contact_In,PostalExt,StPreDir,AddRange,MetroArea,City,Loc_name,GEOID,ARC_Subreg,StAddr,LangCode,ARC_City,Score,AFFGEOID,STATEFP,DisplayY,AddNumTo,Zip,Match_type,District,AddNumFrom,Place_addr,Hours,Join_Count,Postal,LSAD,Match_addr,State,BldgType,Distance,ExInfo,Block,ShortLabel,ARC_Addres,PART_NO,StType,StPreType,Status,Type,AddBldg
,,-78.42191088,Fluvanna County,-78.4228735,1494061,1,"4422 Antioch Rd, Scottsville, VA, 24590, USA",Antioch,,65,,,PointAddress,,,9%,,65,Scottsville,,USA,37.84717,,Fluvanna County,,POINT (-78.4219109 37.8464109),"743,630,411",20,4422 Antioch Road,37.8464109,,VA,1.522,-78.4208735,,L,Virginia,,132,"10,746,124",VA,,24590,,4422,,-78.4218735,BRAFB,37.84517,,,Albemarle,,,Antioch Baptist Church,1,434 286-6315,3500,,,,Scottsville,World,51065,Albemarle,4422 Antioch Rd,ENG,,97.1,0500000US51065,51,37.84617,,24590,A,,,"4422 Antioch Rd, Scottsville, Virginia, 24590","Fourth Sat, 9:30am-10:30am",1,24590,6,"4422 Antioch Rd, Scottsville, Virginia, 24590",VA,,0,ALBEMARLE,,4422 Antioch Rd,4422 Antioch Road,1.39,Rd,,M,,
,,-78.48075906,Albemarle,-78.4813465,1675170,2,"4133 Earlysville Rd, Earlysville, VA, 22936, USA",Earlysville,,3,,,PointAddress,,,13%,,3,Earlysville,,USA,38.155132,,Albemarle County,,POINT (-78.4807591 38.1538623),"1,866,002,205",20,4133 Earlysville Road,38.15386227,,VA,4.63,-78.4793465,,L,Virginia,PO Box 183,622,"14,235,728",VA,,22936-0183,,4133,,-78.4803465,BRAFB,38.153132,,,Albemarle,,,Buck Mountain Episcopal Church,2,434 973-2054,,,,,Earlysville,World,51003,Albemarle,4133 Earlysville Rd,ENG,,100,0500000US51003,51,38.154132,,22936-0183,A,,,"4133 Earlysville Rd, Earlysville, Virginia, 22936","Second Wed, 4:00-6:00pm and fourth Tue, 2:00-4:00pm, BRS Sat, 10:00am-11:00am",1,22936,6,"4133 Earlysville Rd, Earlysville, Virginia, 22936",VA,,0,,,4133 Earlysville Rd,4133 Earlysville Road,4.008,Rd,,M,,
,,-78.466328,Albemarle,-78.467328,1675170,3,"22901-1810, Charlottesville, VA, USA",,,3,,,PostalExt,,,13%,,3,Charlottesville,,USA,38.068171,,Albemarle County,,POINT (-78.466328 38.067171),"1,866,002,205",4.5,1165 Rio Road East,38.067171,,VA,4.63,-78.465328,,,Virginia,,622,"14,235,728",VA,,22901-1810,,,,-78.466328,BRAFB,38.066171,,,Albemarle,22901,,Church of Our Saviour Episcopal,3,434 973-6512,1810,,,,Charlottesville,World,51003,Albemarle,,ENG,,86,0500000US51003,51,38.067171,,22901-1810,A,,,"Charlottesville, Virginia, 22901","Mon and Wed, 12:30-2:00pm and Fri, 10:30am-12:00noon",1,22901,6,"22901-1810, Charlottesville, Virginia",VA,,0,1165 RIO ROAD EAST,,22901-1810,1165 Rio Road East,4.008,,,M,,
,,-78.6985325,Albemarle,-78.699763,1675170,4,"5729 Heards Mountain Rd, Covesville, VA, 22931, USA",Heards Mountain,,3,,,PointAddress,,,13%,,3,Covesville,,USA,37.90405,,Albemarle County,,POINT (-78.6985325 37.9033612),"1,866,002,205",20,5729 Heards Mountain Road,37.90336122,,VA,4.63,-78.697763,,L,Virginia,PO Box 127,622,"14,235,728",VA,,22931-0127,,5729,,-78.698763,BRAFB,37.90205,,,Albemarle,,,Covesville Baptist Church,4,434 295-8462,1639,,,,Covesville,World,51003,Albemarle,5729 Heards Mountain Rd,ENG,,100,0500000US51003,51,37.90305,,22931-0127,A,,,"5729 Heards Mountain Rd, Covesville, Virginia, 22931","Third Sat, 10:00-11:30am",1,22931,6,"5729 Heards Mountain Rd, Covesville, Virginia, 22931",VA,,0,,,5729 Heards Mountain Rd,5729 Heards Mountain Road,4.008,Rd,,M,,
,,-78.7023225,Albemarle,-78.7033225,1675170,5,"1156 Crozet Ave, Crozet, VA, 22932, USA",Crozet,,3,,,PointAddress,,,13%,,3,Crozet,,USA,38.069245,,Albemarle County,,POINT (-78.7023225 38.068245),"1,866,002,205",20,1156 Crozet Avenue,38.068245,,VA,4.63,-78.7013225,,L,Virginia,PO Box 70,622,"14,235,728",VA,,22932-0070,,1156,,-78.7023225,BRAFB,38.067245,,,Albemarle,,,Crozet United Methodist Church,5,434 823-4420,3130,,,,Crozet,World,51003,Albemarle,1156 Crozet Ave,ENG,,100,0500000US51003,51,38.068245,,22932-0070,A,,,"1156 Crozet Ave, Crozet, Virginia, 22932","Mon, 4:00-5:00pm, Third Sat each month, USDA, *NEW TIME BEGINNING January 19 7:30-9:00am",1,22932,6,"1156 Crozet Ave, Crozet, Virginia, 22932",VA,,0,,,1156 Crozet Ave,1156 Crozet Avenue,4.008,Ave,,M,,
,,-78.50078354,Albemarle,-78.5014885,1675170,6,"2050 Lambs Rd, Charlottesville, VA, 22901, USA",Lambs,,3,,,PointAddress,,,13%,,3,Charlottesville,,USA,38.078947,,Albemarle County,,POINT (-78.5007835 38.0777996),"1,866,002,205",20,2050 Lambs Road,38.07779956,,VA,4.63,-78.4994885,,L,Virginia,PO Box 8001,622,"14,235,728",VA,,22903,,2050,,-78.5004885,BRAFB,38.076947,,,Albemarle,,,Loaves and Fishes,6,434 996-7868,8978,,,,Charlottesville,World,51003,Albemarle,2050 Lambs Rd,ENG,,93.1,0500000US51003,51,38.077947,,22903,A,,,"2050 Lambs Rd, Charlottesville, Virginia, 22901","Tue and Thu, 6:30-8:30pm, Wed, 2:00-4:00pm and Sat, 10:00am-12:00noon",1,22901,6,"2050 Lambs Rd, Charlottesville, Virginia, 22901",VA,,0,22903,,2050 Lambs Rd,2050 Lambs Road,4.008,Rd,,M,,
,,-78.6470715,Albemarle,-78.6480715,1675170,7,"4637 Plank Rd, North Garden, VA, 22959, USA",Plank,,3,,,PointAddress,,,13%,,3,North Garden,,USA,37.957609,,Albemarle County,,POINT (-78.6470715 37.9569535),"1,866,002,205",20,4637 Plank Road,37.9569535,,VA,4.63,-78.6460715,,L,Virginia,PO Box 216,622,"14,235,728",VA,,22959-2324,,4637,,-78.6470715,BRAFB,37.955609,,,Albemarle,,,North Garden Ministries,7,434 977-5585,2041,,,,North Garden,World,51003,Albemarle,4637 Plank Rd,ENG,,100,0500000US51003,51,37.956609,,22959-2324,A,,,"4637 Plank Rd, North Garden, Virginia, 22959","Third Sat, 9:00-10:00am",1,22959,6,"4637 Plank Rd, North Garden, Virginia, 22959",VA,,0,,,4637 Plank Rd,4637 Plank Road,4.008,Rd,,M,,
,,-78.49601166,Albemarle,-78.49701166,1675170,8,"148 Bird St, Scottsville, VA, 24590, USA",Bird,,3,,,StreetAddress,,,13%,,3,Scottsville,,USA,37.80044763,,Albemarle County,,POINT (-78.4960117 37.7994476),"1,866,002,205",20,148 Bird Street,37.79944763,,VA,4.63,-78.49501166,,L,Virginia,,622,"14,235,728",VA,,24590,,148,,-78.49601166,BRAFB,37.79844763,,,Albemarle,,,Scottsville Mobile Food Pantry,8,434 286-4062,,,100-198,,Scottsville,World,51003,Albemarle,148 Bird St,ENG,,100,0500000US51003,51,37.79944763,100,24590,A,,198,"148 Bird St, Scottsville, Virginia, 24590","Fourth Tue, 10:00-11:00am",1,24590,6,"148 Bird St, Scottsville, Virginia, 24590",VA,,0,,,148 Bird St,148 Bird Street,4.008,St,,M,,
,,-78.4977255,Albemarle,-78.4987255,1675170,9,"300 Page St, Scottsville, VA, 24590, USA",Page,,3,,,PointAddress,,,13%,,3,Scottsville,,USA,37.798975,,Albemarle County,,POINT (-78.4977255 37.797975),"1,866,002,205",20,300 Page Street,37.797975,,VA,4.63,-78.4967255,,L,Virginia,PO Box 884,622,"14,235,728",VA,,24590,,300,,-78.4977255,BRAFB,37.796975,,,Albemarle,,,Scottsville UMC-Bread of Life,9,434 286-2892,3096,,,,Scottsville,World,51003,Albemarle,300 Page St,ENG,,100,0500000US51003,51,37.797975,,24590,A,,,"300 Page St, Scottsville, Virginia, 24590","Third Sat, 8:30-9:30am",1,24590,6,"300 Page St, Scottsville, Virginia, 24590",VA,,0,,,300 Page St,300 Page Street,4.008,St,,M,,
,,-78.59556,Albemarle,-78.59656,1675170,10,"851 Owensville Rd, Charlottesville, VA, 22901, USA",Owensville,,3,,,PointAddress,,,13%,,3,Charlottesville,,USA,38.05903,,Albemarle County,,POINT (-78.59556 38.05803),"1,866,002,205",20,851 Owensville Road,38.05803,,VA,4.63,-78.59456,,L,Virginia,PO Box 37,622,"14,235,728",VA,,22901,,851,,-78.59556,BRAFB,38.05703,,,Albemarle,,,St. Paul's Episcopal Church,10,434 979-6354,9505,,,,Charlottesville,World,51003,Albemarle,851 Owensville Rd,ENG,,100,0500000US51003,51,38.05803,,22901,A,,,"851 Owensville Rd, Charlottesville, Virginia, 22901","Third Wed, 4:00-6:00pm",1,22901,6,"851 Owensville Rd, Charlottesville, Virginia, 22901",VA,,0,,,851 Owensville Rd,851 Owensville Road,4.008,Rd,,M,,
